ticker,asset_class,sector
KEYS,Equity,Information Technology
KMB,Equity,Consumer Staples
KIM,Equity,Real Estate
KMI,Equity,Energy
KLAC,Equity,Information Technology
KHC,Equity,Consumer Staples
KR,Equity,Consumer Staples
LB,Equity,Consumer Discretionary
LHX,Equity,Industrials
LH,Equity,Health Care
LRCX,Equity,Information Technology
LW,Equity,Consumer Staples
LVS,Equity,Consumer Discretionary
LEG,Equity,Consumer Discretionary
LDOS,Equity,Information Technology
LEN,Equity,Consumer Discretionary
LLY,Equity,Health Care
LNC,Equity,Financials
LIN,Equity,Materials
LYV,Equity,Communication Services
LKQ,Equity,Consumer Discretionary
LMT,Equity,Industrials
L,Equity,Financials
LOW,Equity,Consumer Discretionary
LUMN,Equity,Communication Services
LYB,Equity,Materials
MTB,Equity,Financials
MPC,Equity,Energy
MKTX,Equity,Financials
MAR,Equity,Consumer Discretionary
MMC,Equity,Financials
MLM,Equity,Materials
MAS,Equity,Industrials
MA,Equity,Information Technology
MKC,Equity,Consumer Staples
MCD,Equity,Consumer Discretionary
MCK,Equity,Health Care
MDT,Equity,Health Care
MRK,Equity,Health Care
MET,Equity,Financials
MTD,Equity,Health Care
MGM,Equity,Consumer Discretionary
MCHP,Equity,Information Technology
MU,Equity,Information Technology
MSFT,Equity,Information Technology
MAA,Equity,Real Estate
MHK,Equity,Consumer Discretionary
TAP,Equity,Consumer Staples
MDLZ,Equity,Consumer Staples
MNST,Equity,Consumer Staples
MCO,Equity,Financials
MS,Equity,Financials
MSI,Equity,Information Technology
MSCI,Equity,Financials
NDAQ,Equity,Financials
NOV,Equity,Energy
NTAP,Equity,Information Technology
NFLX,Equity,Communication Services
NWL,Equity,Consumer Discretionary
NEM,Equity,Materials
NWSA,Equity,Communication Services
NWS,Equity,Communication Services
NEE,Equity,Utilities
NKE,Equity,Consumer Discretionary
NI,Equity,Utilities
NSC,Equity,Industrials
NTRS,Equity,Financials
NOC,Equity,Industrials
NCLH,Equity,Consumer Discretionary
NRG,Equity,Utilities
NUE,Equity,Materials
NVDA,Equity,Information Technology
NVR,Equity,Consumer Discretionary
ORLY,Equity,Consumer Discretionary
OXY,Equity,Energy
ODFL,Equity,Industrials
OMC,Equity,Communication Services
OKE,Equity,Energy
ORCL,Equity,Information Technology
OGN,Equity,Health Care
PCAR,Equity,Industrials
PKG,Equity,Materials
PH,Equity,Industrials
PAYX,Equity,Information Technology
PAYC,Equity,Information Technology
PYPL,Equity,Information Technology
PNR,Equity,Industrials
PEP,Equity,Consumer Staples
PRGO,Equity,Health Care
PFE,Equity,Health Care
PM,Equity,Consumer Staples
PSX,Equity,Energy
PNW,Equity,Utilities
PNC,Equity,Financials
PPG,Equity,Materials
PPL,Equity,Utilities
PFG,Equity,Financials
PG,Equity,Consumer Staples
PGR,Equity,Financials
PLD,Equity,Real Estate
PRU,Equity,Financials
PEG,Equity,Utilities
PSA,Equity,Real Estate
PHM,Equity,Consumer Discretionary
PVH,Equity,Consumer Discretionary
QRVO,Equity,Information Technology
PWR,Equity,Industrials
QCOM,Equity,Information Technology
DGX,Equity,Health Care
RL,Equity,Consumer Discretionary
RJF,Equity,Financials
RTX,Equity,Industrials
O,Equity,Real Estate
REG,Equity,Real Estate
REGN,Equity,Health Care
RF,Equity,Financials
RSG,Equity,Industrials
RMD,Equity,Health Care
RHI,Equity,Industrials
ROK,Equity,Industrials
ROL,Equity,Industrials
ROP,Equity,Information Technology
ROST,Equity,Consumer Discretionary
RCL,Equity,Consumer Discretionary
SPGI,Equity,Financials
SLB,Equity,Energy
STX,Equity,Information Technology
SEE,Equity,Materials
SRE,Equity,Utilities
NOW,Equity,Information Technology
SHW,Equity,Materials
SPG,Equity,Real Estate
SWKS,Equity,Information Technology
SLG,Equity,Real Estate
SNA,Equity,Industrials
SO,Equity,Utilities
LUV,Equity,Industrials
SWK,Equity,Industrials
SBUX,Equity,Consumer Discretionary
STT,Equity,Financials
STE,Equity,Health Care
SYK,Equity,Health Care
SYF,Equity,Financials
SYY,Equity,Consumer Staples
TMUS,Equity,Communication Services
TROW,Equity,Financials
TTWO,Equity,Communication Services
TPR,Equity,Consumer Discretionary
TRIP,Equity,Communication Services
TFC,Equity,Financials
TT,Equity,Industrials
TDG,Equity,Industrials
TEL,Equity,Information Technology
FTI,Equity,Energy
TXT,Equity,Industrials
COO,Equity,Health Care
TSLA,Equity,Consumer Discretionary
TSN,Equity,Consumer Staples
